category,Item No.,Description,Quantity,Unit Price (KES)
Inpatient Ward,13,Dual Flow Oxygen Concentrator (10 L),1,100000
Inpatient Ward,14,Instrument Trolley,1,13500
Inpatient Ward,15,Pedal Bin 30 L set,1,4500
Major Theatre,1,Anaesthetic Machine( N3),1,3500000
Major Theatre,2,Patient Monitor (7 Parameters),1,265000
Major Theatre,3,Diathermy Machine 400 W,1,200000
Major Theatre,4,Ceiling Mounted Double Dome Theatre Light,1,450000
Major Theatre,5,Hydro-electric Theatre Table,1,450000
Major Theatre,6,Patient Stretcher,1,35000
Major Theatre,7,Instrument Trolley,1,14500
Major Theatre,8,Two Bottle Suction Machine,1,25000
Major Theatre,9,Oxygen Cylinders 8.5 m3,2,47000
Major Theatre,10,Baby Warmer (Resuscitaire),1,350000
Major Theatre,11,Crash Cart,1,65000
Major Theatre,12,Defibrillator,1,600000
Major Theatre,13,Adult Ambu Bag,2,3500
Major Theatre,14,Paediatric Ambu Bag,2,3500
Major Theatre,15,Mayo Trolley,2,8500
Major Theatre,16,Theatre Clogs,4,3000
Major Theatre,17,Major Caesarean Set,4,45000
Major Theatre,18,General Operating Set,2,75000
Major Theatre,20,Laparotomy Set,2,45000
Major Theatre,21,Drip Stand,2,3500
Major Theatre,22,Kick Bucket,2,5500
Major Theatre,23,Doctors Revolving Stool,2,16000
Major Theatre,24,Laryngoscope (6 Blade),2,9500
Major Theatre,25,Mackintosh Sheet,10,850
Major Theatre,26,Theatre Surgical Gown,5,2500
Major Theatre,27,Green Drape with Hole,5,1200
Major Theatre,28,"Air conditioner 18,000BTU",1,140000
Major Theatre,29,Green Drape without Hole,5,1200
Dialysis,1,Dialysis Machine (Hemodiafiltration),2,2900000
Dialysis,2,Reverse Osmosis Water Plant,1,1900000
Dialysis,3,Electric Dialysis Chair,2,150000
Dialysis,4,Two Bottle Suction Machine,1,25000
Dialysis,5,Dual Flow Oxygen Concentrator (10 L),1,100000
Dialysis,6,Four Fold Ward Screen,2,10000
Dialysis,7,Patient Monitor (5 Parameters with trolley),1,110000
Dialysis,8,Crash Cart,1,65000
Dental,1,Dental Unit with Compressor,1,420000
Dental,2,Dental X-Ray IOPA with Sensor,1,350000
Dental,3,Extraction Forceps Set (Various Types),10,700
Dental,4,Cowhorn Forceps (Upper & Lower),2,950
Dental,5,"Elevators (Broad, Curved & Straight)",3,550
Dental,6,Dental Syringe,1,1200
Dental,7,Dental Mirror with Handle,1,350
Dental,8,Dental Condenser,1,350
Dental,9,Burnishers,1,350
Dental,10,Dycal Applicator,1,450
Dental,11,K-Files,1,550
Dental,12,Dental Consumables & Accessories,1,50695
Laboratory,1,5-Part Auto Hematology Analyzer,1,1200000
Laboratory,2,Hematology Control Tripack,1,22000
Laboratory,3,Fully Automated Biochemistry Analyzer (with starter pack),1,1200000
Laboratory,14,Electrolyte Analyzer,1,250000
Laboratory,15,Lamuno plus Immunoassay Analyzer,1,100000
Laboratory,16,Laboratory Refrigerator 250 L,1,250000
Laboratory,17,Binocular Microscope,1,25000
Laboratory,18,Digital Centrifuge,1,30000
Laboratory,19,Roller Mixer,1,18500
Laboratory,20,Water Bath (15 L),1,20000
Laboratory,21,Laboratory Incubator,1,35000
Laboratory,22,Micropipettes (10-100 uL & 100-1000 uL),2,4000
Laboratory,23,Urine Analyzer,1,95000
Laboratory,24,Hot Air Oven,1,38000
Laboratory,25,VDRL Shaker,1,12000
Laboratory,26,Orbital Shaker,1,17000
Laboratory,27,Laboratory Consumables & Rapid Test Kits,1,92750
ICU Ward,1,5 Function Electric ICU Bed,1,220000
ICU Ward,2,ICU Ventilator,1,1650000
ICU Ward,3,Patient Monitor (5 Parameters with wall mount),1,110000
ICU Ward,5,Two Bottle Suction Machine,1,25000
ICU Ward,6,Drip Stand,1,3500
ICU Ward,7,Syringe Pump,1,85000
ICU Ward,8,Infusion Pump,1,80000
ICU Ward,9,Crash Cart,1,65000
ICU Ward,10,Instrument Trolley,1,13500
ICU Ward,11,Ripple Mattress,1,9000
CSSD,1,100 Litre Autoclave,1,280000
CSSD,2,Green Towel (Without Hole),1,650
CSSD,3,Large Dressing Drum,1,3500
CSSD,4,Medium Dressing Drum,1,3000
CSSD,5,Small Dressing Drum,1,2800
Minor Theatre,1,Anaesthesia Machine (Superstar S6100),1,1100000
Minor Theatre,2,Hydraulic Operating Table,1,250000
Minor Theatre,3,LED Theatre Light(Ceiling mounted-single dome),1,250000
Minor Theatre,4,Diathermy Machine,1,200000
Minor Theatre,5,Patient Monitor (7 Parameters with trolley),1,200000
Minor Theatre,6,Patient Stretcher,1,35000
Minor Theatre,7,Two Bottle Suction Machine,1,25000
Minor Theatre,8,Oxygen Cylinder,1,47000
Minor Theatre,9,Nitrous Cylinder,1,80000
Minor Theatre,10,Crash Cart,1,65000
,,,,Grand Total
